SF_Id,Name,Object,Field,Before,After,Source,Action,Result,Error,Timestamp
a0BWR0000083yLk2AI,AGR-0595,Agreement__c,*record*,"{""Name"": ""AGR-0595"", ""Opportunity__c"": ""006WR00000wkDubYAE"", ""Opportunity_Name"": ""Windfaire Apartments"", ""Agreement_Type__c"": ""Bulk"", ""Status__c"": ""Review""}",deleted,TM_review_2026-05-04,Delete,OK,,2026-05-07T12:02:33.067209
a0BWR0000083yLm2AI,AGR-0597,Agreement__c,*record*,"{""Name"": ""AGR-0597"", ""Opportunity__c"": ""006WR00000wkDucYAE"", ""Opportunity_Name"": ""Woodbury Place Apartments"", ""Agreement_Type__c"": ""EMA"", ""Status__c"": ""Review""}",deleted,TM_review_2026-05-04,Delete,OK,,2026-05-07T12:02:33.538002
a0BWR0000083yLn2AI,AGR-0598,Agreement__c,*record*,"{""Name"": ""AGR-0598"", ""Opportunity__c"": ""006WR00000wkDucYAE"", ""Opportunity_Name"": ""Woodbury Place Apartments"", ""Agreement_Type__c"": ""Bulk"", ""Status__c"": ""Review""}",deleted,TM_review_2026-05-04,Delete,OK,,2026-05-07T12:02:34.008002
a0BWR0000083yLp2AI,AGR-0600,Agreement__c,*record*,"{""Name"": ""AGR-0600"", ""Opportunity__c"": ""006WR00000wkDudYAE"", ""Opportunity_Name"": ""Strathmore Arms Apartments"", ""Agreement_Type__c"": ""EMA"", ""Status__c"": ""Review""}",deleted,TM_review_2026-05-04,Delete,OK,,2026-05-07T12:02:34.602313
a0BWR0000083yLq2AI,AGR-0601,Agreement__c,*record*,"{""Name"": ""AGR-0601"", ""Opportunity__c"": ""006WR00000wkDudYAE"", ""Opportunity_Name"": ""Strathmore Arms Apartments"", ""Agreement_Type__c"": ""Bulk"", ""Status__c"": ""Review""}",deleted,TM_review_2026-05-04,Delete,OK,,2026-05-07T12:02:35.148517
a0BWR0000083yLs2AI,AGR-0603,Agreement__c,*record*,"{""Name"": ""AGR-0603"", ""Opportunity__c"": ""006WR00000wkDueYAE"", ""Opportunity_Name"": ""University Club Apartments (Nac)"", ""Agreement_Type__c"": ""EMA"", ""Status__c"": ""Review""}",deleted,TM_review_2026-05-04,Delete,OK,,2026-05-07T12:02:35.481321
a0BWR0000083yLt2AI,AGR-0604,Agreement__c,*record*,"{""Name"": ""AGR-0604"", ""Opportunity__c"": ""006WR00000wkDueYAE"", ""Opportunity_Name"": ""University Club Apartments (Nac)"", ""Agreement_Type__c"": ""Bulk"", ""Status__c"": ""Review""}",deleted,TM_review_2026-05-04,Delete,OK,,2026-05-07T12:02:36.036568
a0BWR0000083yLv2AI,AGR-0606,Agreement__c,*record*,"{""Name"": ""AGR-0606"", ""Opportunity__c"": ""006WR00000wkDufYAE"", ""Opportunity_Name"": ""714 Veteran"", ""Agreement_Type__c"": ""EMA"", ""Status__c"": ""Review""}",deleted,TM_review_2026-05-04,Delete,OK,,2026-05-07T12:02:36.378311
a0BWR0000083yLw2AI,AGR-0607,Agreement__c,*record*,"{""Name"": ""AGR-0607"", ""Opportunity__c"": ""006WR00000wkDufYAE"", ""Opportunity_Name"": ""714 Veteran"", ""Agreement_Type__c"": ""Bulk"", ""Status__c"": ""Review""}",deleted,TM_review_2026-05-04,Delete,OK,,2026-05-07T12:02:36.914256
a0BWR0000083yLy2AI,AGR-0609,Agreement__c,*record*,"{""Name"": ""AGR-0609"", ""Opportunity__c"": ""006WR00000wkDugYAE"", ""Opportunity_Name"": ""University Square Apartments"", ""Agreement_Type__c"": ""EMA"", ""Status__c"": ""Review""}",deleted,TM_review_2026-05-04,Delete,OK,,2026-05-07T12:02:37.508150
a0BWR0000083yLz2AI,AGR-0610,Agreement__c,*record*,"{""Name"": ""AGR-0610"", ""Opportunity__c"": ""006WR00000wkDugYAE"", ""Opportunity_Name"": ""University Square Apartments"", ""Agreement_Type__c"": ""Bulk"", ""Status__c"": ""Review""}",deleted,TM_review_2026-05-04,Delete,OK,,2026-05-07T12:02:37.848850
