SF_Id,Name,Field,Before,After,Source,Timestamp,Action,Note
a01WR00000UGVX4YAP,9900 NICHOLAS ST OMAHA NE,Parcel__c,3122-2914-25,2531222914,push_smb_roe_parcels_2026-04-27.py,2026-04-27T08:27:50,OVERWRITE,source=Parcel; xlsx-Parcel#=3122-2914-25 vs xlsx-Parcel=2531222914
a01WR00000UGXfhYAH,6237 N 89TH CIR OMAHA NE,Parcel__c,,527190091,push_smb_roe_parcels_2026-04-27.py,2026-04-27T08:27:50,FILL,source=Parcel
a01WR00000UGXuFYAX,7928 W DODGE RD OMAHA NE,Parcel__c,,639710002,push_smb_roe_parcels_2026-04-27.py,2026-04-27T08:27:50,FILL,source=Parcel
a01WR00000UGXmhYAH,7010 N 97TH CIR OMAHA NE,Parcel__c,,2245254750,push_smb_roe_parcels_2026-04-27.py,2026-04-27T08:27:50,FILL,source=Parcel
a01WR00000UGYAvYAP,9375 BURT ST OMAHA NE,Parcel__c,,1023445156,push_smb_roe_parcels_2026-04-27.py,2026-04-27T08:27:50,FILL,source=Parcel
a01WR00000UGXt7YAH,7813 WAKELEY PLZ OMAHA NE,Parcel__c,,"2327295350, 2403460500",push_smb_roe_parcels_2026-04-27.py,2026-04-27T08:27:50,FILL,source=Parcel
a01WR0000106zQaYAI,4451 DALE EARNHARDT WAY ROANOKE TX,Parcel__c,,R770622,push_smb_roe_parcels_2026-04-27.py,2026-04-27T08:27:50,FILL,source=Parcel
a01WR00000UFlxdYAD,10011 HARMON RD FORT WORTH TX,Parcel__c,,40208656,push_smb_roe_parcels_2026-04-27.py,2026-04-27T08:27:50,FILL,source=Parcel
a01WR00000UGWM0YAP,1953 GOLDEN HEIGHTS RD HASLET TX,Parcel__c,,4233204,push_smb_roe_parcels_2026-04-27.py,2026-04-27T08:27:50,FILL,source=Parcel
a01WR0000106ylCYAQ,1150 BLUE MOUND W RD FORT WORTH TX,Parcel__c,,40035603,push_smb_roe_parcels_2026-04-27.py,2026-04-27T08:27:50,FILL,source=Parcel
a01WR00000UGY0zYAH,850 BLUE MOUND W RD FORT WORTH TX,Parcel__c,,40035549,push_smb_roe_parcels_2026-04-27.py,2026-04-27T08:27:50,FILL,source=Parcel
a01WR00000UFlxxYAD,10027 HARMON RD FORT WORTH TX,Parcel__c,,40208656,push_smb_roe_parcels_2026-04-27.py,2026-04-27T08:27:50,FILL,source=Parcel
a01WR0000106yzmYAA,1929 GOLDEN HEIGHTS RD FORT WORTH TX,Parcel__c,,6424260,push_smb_roe_parcels_2026-04-27.py,2026-04-27T08:27:50,FILL,source=Parcel
a01WR0000106ykaYAA,1120 BLUE MOUND W RD FORT WORTH TX,Parcel__c,,4323068,push_smb_roe_parcels_2026-04-27.py,2026-04-27T08:27:50,FILL,source=Parcel
a01WR0000106yhDYAQ,100 W SOUTHLAKE BLVD SOUTHLAKE TX,Parcel__c,,7389620,push_smb_roe_parcels_2026-04-27.py,2026-04-27T08:27:50,FILL,source=Parcel
a01WR0000106yxJYAQ,15520 HWY 114 JUSTIN TX,Parcel__c,,R225741,push_smb_roe_parcels_2026-04-27.py,2026-04-27T08:27:50,FILL,source=Parcel
a01WR00000UGWLKYA5,1919 GOLDEN HEIGHTS RD HASLET TX,Parcel__c,,4233190,push_smb_roe_parcels_2026-04-27.py,2026-04-27T08:27:50,FILL,source=Parcel
