SF_Id,Name,Field,Before,After,Source,Timestamp,Action,Note
a01WR00000UGWK7YAP,1850 KELLER PKWY KELLER TX,FDH_Name__c,TX_DFW_SA01_FDH12,TX_DFW_AVR_2025Q3,sync_vetro_to_salesforce.py,2026-05-19T09:29:18,UPDATE,kind=bus; from Vetro sync
a01WR00000UGWK7YAP,1850 KELLER PKWY KELLER TX,FDH_Activated_Date__c,2022-12-31,2025-07-01,sync_vetro_to_salesforce.py,2026-05-19T09:29:18,UPDATE,kind=bus; from Vetro sync
a01WR00000UGWKnYAP,1901 W SOUTHLAKE BLVD SOUTHLAKE TX,FDH_Name__c,TX_DFW_SA01_FDH10,TX_DFW_AVR_2025Q3,sync_vetro_to_salesforce.py,2026-05-19T09:29:18,UPDATE,kind=bus; from Vetro sync
a01WR00000UGWKnYAP,1901 W SOUTHLAKE BLVD SOUTHLAKE TX,FDH_Activated_Date__c,2022-12-31,2025-07-01,sync_vetro_to_salesforce.py,2026-05-19T09:29:18,UPDATE,kind=bus; from Vetro sync
a01WR00000UGWM6YAP,1957 W SOUTHLAKE CIR SOUTHLAKE TX,FDH_Name__c,TX_DFW_SA01_FDH10,TX_DFW_AVR_2025Q3,sync_vetro_to_salesforce.py,2026-05-19T09:29:18,UPDATE,kind=bus; from Vetro sync
a01WR00000UGWM6YAP,1957 W SOUTHLAKE CIR SOUTHLAKE TX,FDH_Activated_Date__c,2022-12-31,2025-07-01,sync_vetro_to_salesforce.py,2026-05-19T09:29:18,UPDATE,kind=bus; from Vetro sync
a01WR00000UGWcRYAX,2419 W SOUTHLAKE BLVD SOUTHLAKE TX,FDH_Name__c,TX_DFW_SA01_FDH61,TX_DFW_AVR_2025Q3,sync_vetro_to_salesforce.py,2026-05-19T09:29:18,UPDATE,kind=bus; from Vetro sync
a01WR00000UGWcRYAX,2419 W SOUTHLAKE BLVD SOUTHLAKE TX,FDH_Activated_Date__c,2022-12-31,2025-07-01,sync_vetro_to_salesforce.py,2026-05-19T09:29:18,UPDATE,kind=bus; from Vetro sync
a01WR00000UGWhnYAH,2717 E SOUTHLAKE BLVD SOUTHLAKE TX,FDH_Name__c,TX_DFW_SA01_FDH05,TX_DFW_AVR_2025Q3,sync_vetro_to_salesforce.py,2026-05-19T09:29:18,UPDATE,kind=bus; from Vetro sync
a01WR00000UGWhnYAH,2717 E SOUTHLAKE BLVD SOUTHLAKE TX,FDH_Activated_Date__c,2022-12-31,2025-07-01,sync_vetro_to_salesforce.py,2026-05-19T09:29:18,UPDATE,kind=bus; from Vetro sync
a01WR00000UGWjkYAH,2840 W SOUTHLAKE BLVD SOUTHLAKE TX,FDH_Name__c,TX_DFW_SA01_FDH61,TX_DFW_AVR_2025Q3,sync_vetro_to_salesforce.py,2026-05-19T09:29:18,UPDATE,kind=bus; from Vetro sync
