SF_Id,Name,Field,Before,After,Source,Timestamp,Action,Note
a02WR00000FcPwYYAV,TX1101-FB03520052A,Activated__c,No,Yes,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,UPDATE,
a02WR00000FcPwYYAV,TX1101-FB03520052A,Address_Activation_Date__c,,2026-04-08,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,UPDATE,
a02WR00000FcPwYYAV,TX1101-FB03520052A,Ordered_Product__c,,Internet Service,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,UPDATE,
a02WR00000FcPxKYAV,TX1101-FB05090309A,Activated__c,No,Yes,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,UPDATE,
a02WR00000FcPxKYAV,TX1101-FB05090309A,Address_Activation_Date__c,,2026-04-06,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,UPDATE,
a02WR00000FcPxKYAV,TX1101-FB05090309A,Ordered_Product__c,,Internet Service,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,UPDATE,
a02WR00000FcPxiYAF,TX1101-FB03250125A,Activated__c,No,Yes,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,UPDATE,
a02WR00000FcPxiYAF,TX1101-FB03250125A,Address_Activation_Date__c,,2026-04-16,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,UPDATE,
a02WR00000FcPxiYAF,TX1101-FB03250125A,Ordered_Product__c,,Internet Service,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,UPDATE,
a02WR00000FcPyiYAF,TX1101-FB03730073A,Activated__c,Yes,No,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,UPDATE,
a02WR00000FcPyiYAF,TX1101-FB03730073A,Address_De_activation_Date__c,,2026-04-09,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,UPDATE,
a02WR00000FcPyiYAF,TX1101-FB03730073A,Address_Deactivated__c,No,Yes,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,UPDATE,
a02WR00000FcQ2HYAV,TX0604-006000106A,Address_Activation_Date__c,2021-01-01,2025-06-25,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,UPDATE,
a02WR00000MFCQAYA5,TX1101-020000247A,Activated__c,Yes,No,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,UPDATE,
a02WR00000MFCQAYA5,TX1101-020000247A,Address_Activation_Date__c,2024-12-31,,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,UPDATE,
a02WR00000FcLyEYAV,TX1101-017000250A,Activated__c,Yes,No,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,UPDATE,
a02WR00000FcLyEYAV,TX1101-017000250A,Address_De_activation_Date__c,,2026-04-14,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,UPDATE,
a02WR00000FcLyEYAV,TX1101-017000250A,Address_Deactivated__c,No,Yes,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,UPDATE,
a02WR00000MFCU7YAP,TX0809-011000068A,Activated__c,No,Yes,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,UPDATE,
a02WR00000MFCU7YAP,TX0809-011000068A,Address_Activation_Date__c,,2026-04-06,apply_powerbi_diff_2026-04-27.py,2026-04-27T10:56:42,UPDATE,
